artist;title;url;image
Lee Ufan;Lee Ufan Foundation - Official Website;https://leeufanfoundation.org/;
Amedeo Modigliani;Instituto Amedeo Modigliani - Official Website;https://istitutoamedeomodigliani.it/;
Willem de Kooning;De Kooning Fondation; https://www.dekooning.org/;
Yves Klein;Yves Klein - Official Website;https://www.yvesklein.com/;
Pierre Soulages;Pierre Soulages;https://www.pierre-soulages.com/;
Constantin Brancusi;Brancusi - Guggenheim Website;https://www.guggenheim.org/artwork/artist/constantin-brancusi;
Petr Mondrian;Petr Mondrian - Pompidou Website; https://www.centrepompidou.fr/fr/offre-aux-professionnels/enseignants/dossiers-ressources-sur-lart/naissance-de-lart-abstrait/piet-mondrian;
Maurice de Vlaminck;Vlaminck - Wikipedia; https://en.wikipedia.org/wiki/Maurice_de_Vlaminck
Mark Rothko;Mark Rothko - Official Website;https://www.markrothko.com/;
Robert Ryman;Robert Ryman - L'Orangerie;https://www.musee-orangerie.fr/en/whats-on/exhibitions/robert-ryman-act-looking;
