date;title;url
Feb 25, 2025;Agents-Powered B2B Marketplaces - Opportunities for AI agents in a marketplace context;https://louicop.medium.com/agents-powered-b2b-marketplaces-opportunities-for-ai-agents-in-a-marketplace-context-6a6438a6789e
Nov 25, 2024;Some Thoughts on Software - Consolidating a few learnings on what's happening in software after 3 weeks in the US;https://louicop.medium.com/some-thoughts-on-software-consolidating-a-few-learnings-on-whats-happening-in-software-after-3-weeks-2024f7f5d5a6
Jun 28, 2024;Vertical Software in 2024 - Some more recent learnings;https://louicop.medium.com/vertical-software-in-2024-some-more-recent-learnings-b8f1b091d71c
Feb 27, 2024;AI-first Service Businesses - Opportunities for new AI-first software applications;https://louicop.medium.com/ai-first-service-businesses-opportunities-for-new-ai-first-software-applications-c4ca2f61b271
Jan 26, 2024;Vertical Software 2.0 - Expansion opportunities in vertical software;https://louicop.medium.com/vertical-software-2-0-expansion-opportunities-in-vertical-software-95b2d38be0e4
Sep 6, 2024;The State of European B2B Marketplaces - The 2023 edition of our market map and some learnings;https://louicop.medium.com/the-state-of-european-b2b-marketplaces-the-2023-edition-of-our-market-map-and-some-learnings-d31d139aa6
May 10, 2024;Learnings Exploring the GPT/LLM Space - Notes from an exploratory trip in the US;https://louicop.medium.com/learnings-exploring-the-gpt-llm-space-notes-from-an-exploratory-trip-in-the-us-8d1d7fe1c059
Mar 31, 2024;Designing the Right Business Model as a B2B Marketplace - Some thoughts and some learnings from Faire;https://louicop.medium.com/designing-the-right-business-model-as-a-b2b-marketplace-some-thoughts-and-some-learnings-from-faire-8e1d791df54f
Sep 18, 2022;Creative Tools 2.0;https://medium.com/point-nine-news?source=user_profile_page---------10-------------15a111b77998----------------------98----------------------Mar 10, 2021;3 trends to watch in Computer Vision;https://medium.com/point-nine-news?source=user_profile_page---------15-------------15a111b77998------------------------------7998----------------------_page---------18-------------15a111b77998----------------------
Sep 20, 2019;Branding your early-stage software company;https://medium.com/point-nine-news?source=user_profile_page---------20-------------15a111b77998----------------------
May 6, 2019;Understanding viral growth in SaaS;https://medium.com/point-nine-news?source=user_profile_page---------23-------------15a111b77998----------------------
Jan 1, 2019;ML in 2019: some quick predictions;https://medium.com/point-nine-news?source=user_profile_page---------24-------------15a111b77998----------------------Dec 6, 2018;On digitizing B2B markets and backing friends;https://medium.com/point-nine-news?source=user_profile_page---------25-------------15a111b77998----------------------
Sep 20, 2018;The AI-first SaaS Funding Napkin;https://medium.com/point-nine-news?source=user_profile_page---------28-------------15a111b77998----------------------
Aug 23, 2018;Why Platforms might want to welcome Regulators;https://medium.com/point-nine-news?source=user_profile_page---------31-------------15a111b77998----------------------
Jul 20, 2018;Monitoring a Seed Stage SaaS Business;https://medium.com/point-nine-news?source=user_profile_page---------32-------------15a111b77998----------------------
Jun 20, 2018;Point Nine 🇫🇷 Cloudscape at SaaStr Europa;https://medium.com/point-nine-news?source=user_profile_page---------33-------------15a111b77998----------------------
May 7, 2018;PART III: Routes to defensibility for your AI Startups;https://medium.com/m/signin?actionUrl=https%3A%2F%2Fmedium.com%2F_%2Fbookmark%2Fp%2F3c73291441ff&operation=register&redirect=https%3A%2F%2Flouicop.medium.com%2Fpart-iii-routes-to-defensibility-for-your-ai-startups-3c73291441ff&source=---------34-------------15a111b77998----bookmark_preview------------------
Mar 15, 2018;What does AlphaGo vs Lee Sedol tell us about the interaction between humans and intelligent systems?;https://medium.com/point-nine-news?source=user_profile_page---------35-------------15a111b77998----------------------
Feb 4, 2018;Deconstructing VCs’ Decision Making Frameworks;https://medium.com/point-nine-news?source=user_profile_page---------36-------------15a111b77998----------------------
Nov 5, 2017;PART II: Routes to defensibility for your AI Startup;https://medium.com/point-nine-news?source=user_profile_page---------37-------------15a111b77998----------------------
Oct 17, 2017;Routes to Defensibility for your AI Startup;https://medium.com/point-nine-news?source=user_profile_page---------38-------------15a111b77998----------------------
Jun 26, 2017;Winning Strategies for Applied AI Companies;https://medium.com/point-nine-news?source=user_profile_page---------40-------------15a111b77998----------------------
Jan 20, 2017;Will Blockchain(s) Eat the Marketplace Stack?;https://medium.com/point-nine-news?source=user_profile_page---------44-------------15a111b77998----------------------
Sep 1, 2016;VC Firms and AngelList Syndicates: Friends or Foes?;https://medium.com/startup-grind?source=user_profile_page---------45-------------15a111b77998----------------------
Jul 5, 2016;Why do VC firms become Platforms? (or why a16z is so successful);https://medium.com/startup-grind?source=user_profile_page---------46-------------15a111b77998----------------------
